run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
4259,2019-02-23T10:49:53,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06857,3115602,1317.84,2221.38,45.8432,1000.00,1000.00
4258,2019-02-23T10:26:48,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05505,3007337,1568.10,2221.39,45.3622,1000.00,1000.00
4257,2019-02-23T09:59:46,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06420,3011860,1361.40,2221.31,45.5074,1000.00,1000.00
4256,2019-02-23T09:35:54,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05756,3067655,1535.70,2221.37,45.6959,1000.00,1000.00
4255,2019-02-23T09:09:10,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06487,3013837,1348.56,2221.37,45.2266,1000.00,1000.00
4254,2019-02-23T08:45:36,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.07146,3007178,1231.20,2221.42,45.4182,1000.00,1000.00
4252,2019-02-23T07:49:45,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06595,3037428,1337.82,2221.38,45.3417,1000.00,1000.00
4251,2019-02-23T07:26:33,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06518,3005350,1344.06,2221.41,45.3993,1000.00,1000.00
4250,2019-02-23T07:03:01,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05545,3139064,1630.32,2221.38,44.9696,1000.00,1000.00
4249,2019-02-23T06:34:49,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06525,3015932,1338.00,2221.35,45.8838,1000.00,1000.00
4248,2019-02-23T06:11:19,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06335,3015057,1376.04,2221.38,45.168,1000.00,1000.00
4247,2019-02-23T05:47:17,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05778,3020846,1540.44,2221.39,45.3988,1000.00,1000.00
4246,2019-02-23T05:20:36,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05212,3009255,1668.84,2220.76,0.0557835,1000.00,1000.00
4245,2019-02-23T04:51:41,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05860,3012406,1480.32,2221.38,43.4609,1000.00,1000.00
4244,2019-02-23T04:25:51,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06776,3022955,1292.88,2220.76,0.0560938,1000.00,1000.00
4243,2019-02-23T04:03:06,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06632,3016059,1318.26,2221.41,45.3568,1000.00,1000.00
4242,2019-02-23T03:40:05,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.07098,3015207,1239.00,2221.4,45.4088,1000.00,1000.00
4241,2019-02-23T03:18:17,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05351,3024725,1609.62,2221.36,45.3397,1000.00,1000.00
4240,2019-02-23T02:50:09,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.04877,3018195,1782.78,2220.76,0.0561116,1000.00,1000.00
4239,2019-02-23T02:19:22,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06041,3027103,1433.22,2221.35,45.4711,1000.00,1000.00
4238,2019-02-23T01:54:15,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05282,3030350,1639.68,2220.76,0.0561419,1000.00,1000.00
4237,2019-02-23T01:25:50,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06562,3108305,1422.00,2221.24,45.6798,1000.00,1000.00
4236,2019-02-23T01:00:51,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05985,3072818,1484.16,2221.38,45.2495,1000.00,1000.00
4235,2019-02-23T00:34:42,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05764,3303398,1650.90,2221.36,45.015,1000.00,1000.00
4234,2019-02-23T00:05:18,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.04902,3080658,1790.34,2221.38,45.5817,1000.00,1000.00
4233,2019-02-22T23:34:12,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06590,3030145,1324.80,2221.4,45.7063,1000.00,1000.00
4232,2019-02-22T23:11:02,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06871,3021431,1266.18,2220.76,0.0563621,1000.00,1000.00
